/Library/Frameworks/Python.framework/Versions/3.14/lib/python3.14/site-packages/torch/utils/data/dataloader.py:1095: UserWarning: 'pin_memory' argument is set as true but not supported on MPS now, device pinned memory won't be used.
  super().__init__(loader)
Device: mps
Split: 21600 train / 5400 val
Training EfficientNet-B0 for 30 epochs...
Epoch  TrainLoss  TrainAcc  ValLoss   ValAcc     Best
    1     1.1676    0.7938   0.6324   0.9481   0.9481 ◀ best
    2     0.9502    0.8653   0.6147   0.9650   0.9650 ◀ best
    3     0.8838    0.8941   0.5803   0.9730   0.9730 ◀ best
    4     0.8809    0.8922   0.6046   0.9641   0.9730
    5     0.8982    0.8919   0.5732   0.9735   0.9735 ◀ best
    6     0.8337    0.9094   0.5717   0.9748   0.9748 ◀ best
    7     0.8386    0.9103   0.5685   0.9741   0.9748
    8     0.8375    0.9170   0.5626   0.9813   0.9813 ◀ best
    9     0.8498    0.9142   0.5815   0.9724   0.9813
   10     0.8227    0.9094   0.5635   0.9780   0.9813
   11     0.8089    0.9181   0.5566   0.9807   0.9813
   12     0.8587    0.9164   0.5872   0.9783   0.9813
   13     0.7811    0.9302   0.5562   0.9785   0.9813
   14     0.7765    0.9275   0.5565   0.9839   0.9839 ◀ best
   15     0.7917    0.9356   0.5576   0.9811   0.9839
   16     0.7875    0.9227   0.5500   0.9861   0.9861 ◀ best
   17     0.7784    0.9401   0.5490   0.9854   0.9861
   18     0.7815    0.9323   0.5417   0.9872   0.9872 ◀ best
   19     0.7704    0.9439   0.5449   0.9852   0.9872
   20     0.7692    0.9449   0.5405   0.9852   0.9872
   21     0.7623    0.9567   0.5418   0.9848   0.9872
   22     0.7653    0.9450   0.5337   0.9889   0.9889 ◀ best
   23     0.7494    0.9504   0.5332   0.9891   0.9891 ◀ best
   24     0.7560    0.9550   0.5360   0.9887   0.9891
   25     0.7373    0.9531   0.5344   0.9874   0.9891
   26     0.7534    0.9486   0.5346   0.9891   0.9891
   27     0.7734    0.9453   0.5389   0.9894   0.9894 ◀ best
   28     0.7665    0.9552   0.5320   0.9881   0.9894
   29     0.7512    0.9544   0.5331   0.9894   0.9894
   30     0.7374    0.9552   0.5292   0.9896   0.9896 ◀ best
Done. Best val accuracy: 98.96%
Checkpoint saved to outputs/efficientnet_b0_rgb_best.pth
